run_id,target_name,family,type,jpc,d_total,d_spacing,d_mass,score_used,score_mode,enough_levels_full,enough_levels_partial,n_levels_sim,policy_status,policy_reason,policy_rejected,policy_preferred_parity,policy_allowed_k,run_dominant_parity,run_k_used,run_sector_confidence
0.0,electron,lepton,elementary,1/2+,19540.08287677123,nan,19540.08287677123,19540.08287677123,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,muon,lepton,elementary,1/2+,184.88786428721357,nan,184.88786428721357,184.88786428721357,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,pion,pion_like,meson,0-,36.31077582898448,nan,36.31077582898448,36.31077582898448,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,eta,eta_like,meson,0-,23.458980071683662,nan,23.458980071683662,23.458980071683662,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,rho,rho_like,meson,1-,14.744235162697061,nan,14.744235162697061,14.744235162697061,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,omega_782,omega_like,meson,1-,23.450776086184476,nan,23.450776086184476,23.450776086184476,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,proton,baryon,baryon,1/2+,20.330776148584476,nan,20.330776148584476,20.330776148584476,total,0,0,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,neutron,baryon,baryon,1/2+,20.310776148984473,nan,20.310776148984473,20.310776148984473,total,0,0,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,eta_prime,eta_prime_like,meson,0-,19.930776156584475,nan,19.930776156584475,19.930776156584475,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,phi,phi_like,meson,1-,23.38847010928825,nan,23.38847010928825,23.38847010928825,total,0,0,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,lambda,baryon,baryon,1/2+,16.790776219384476,nan,16.790776219384476,16.790776219384476,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,sigma,baryon,baryon,1/2+,15.310776248984473,nan,15.310776248984473,15.310776248984473,total,0,0,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,delta_1232,delta_like,baryon,3/2+,7.225388205346118,nan,7.225388205346118,7.225388205346118,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,delta_1600,delta_like,baryon,3/2+,2.363592169309385,nan,2.363592169309385,2.363592169309385,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,delta_1620,delta_like,baryon,1/2-,13.022450614064562,nan,13.022450614064562,13.022450614064562,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,delta_1700,delta_like,baryon,3/2-,5.984924095346249,nan,5.984924095346249,5.984924095346249,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,delta_1900,delta_like,baryon,3/2+,0.9089804475169938,nan,0.9089804475169938,0.9089804475169938,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,delta_1910,delta_like,baryon,1/2+,0.8907765373844705,nan,0.8907765373844705,0.8907765373844705,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,delta_1920,delta_like,baryon,3/2+,0.8634706724132346,nan,0.8634706724132346,0.8634706724132346,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,delta_1930,delta_like,baryon,5/2-,0.6134706786632342,nan,0.6134706786632342,0.6134706786632342,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,delta_1950,delta_like,baryon,7/2+,0.09077655338446954,nan,0.09077655338446954,0.09077655338446954,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,tau,lepton,elementary,1/2+,8.876940944152956,nan,8.876940944152956,8.876940944152956,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,deuteron,nucleus,composite,1+,2.631294170956863,nan,2.631294170956863,2.631294170956863,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,triton,nucleus,composite,1/2+,28.479409224686364,nan,28.479409224686364,28.479409224686364,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,helium3,nucleus,composite,1/2+,853.8519258180742,nan,853.8519258180742,853.8519258180742,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,alpha,nucleus,composite,0+,59.09537043815432,nan,59.09537043815432,59.09537043815432,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,carbon12,nucleus,composite,0+,92.20321080036788,nan,92.20321080036788,92.20321080036788,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,eta_c,charmonium,meson,0-,34.315371264154294,nan,34.315371264154294,34.315371264154294,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,j_psi,charmonium,meson,1-,15.232815426762462,nan,15.232815426762462,15.232815426762462,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,lambda_c,charmed_baryon,baryon,1/2+,16.596057782197107,nan,16.596057782197107,16.596057782197107,total,1,1,1,pass,,0,odd,"[1, 3, 5]",odd,1,1.0
0.0,meson_d0,charmed_meson,meson,0-,4.484941163752938,nan,4.484941163752938,4.484941163752938,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,meson_d_plus,charmed_meson,meson,0-,2.3483007058805327,nan,2.3483007058805327,2.3483007058805327,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
0.0,meson_ds,charmed_meson,meson,0-,0.4487057263764753,nan,0.4487057263764753,0.4487057263764753,total,1,1,1,reject,parity_mismatch,1,even,"[1, 2, 4]",odd,1,1.0
